,주소,이름,위도,경도
0,서울특별시 종로구 삼일대로 428 낙원상가 506호 (낙원동),낙원상가,37.5726662,126.9878079
1,서울특별시 종로구 예지동 6번지 1호,광장주식회사,37.5700023,126.9989023
2,서울특별시 성동구 왕십리로 109 성수만세주유소 (성수동1가),홈플러스익스프레스 뚝섬2점,37.547455,127.0442969
3,서울특별시 종로구 서린동 33호   ,영풍문고,37.5696304,126.9821706
4,서울특별시 종로구 창신동 436번지 79  호   ,동대문신발도매상가,37.5707725,127.0125758
5,서울특별시 종로구 종로 266 동대문종합시장D동상가  동 (종로6가),동대문종합시장D동상가,37.5706612,127.0072579
6,서울특별시 종로구 종로3가 175-4,종로세운상가,37.5702051,126.9950971
7,서울특별시 종로구 종로 347 (숭인동),홈플러스(주)익스프레스 숭인점,37.57780899999999,127.0223493
8,서울특별시 종로구 지봉로 81 (창신동 브라운스톤 창신),브라운스톤 창신상가,37.5773397,127.0150489
9,서울특별시 종로구 종로 272 (종로6가),동대문종합시장 신관,37.5710149,127.0078509
10,서울특별시  구일로10길 27 B동 1층 (제118호제119호제121호~126호),홈플러스 익스프레스 서울구로점,37.4958336,126.87265
11,서울특별시 성북구 길음로13길 22 (길음동 길음뉴타운7단지두산위브아파트),롯데마이슈퍼 길음점,37.6096969,127.0188531
12,서울특별시 종로구 창경궁로 88 (예지동),광장시장,37.5700458,126.9960615
13,서울특별시 종로구 청계천로 41 (서린동),(주)영풍문고,37.5696304,126.9821706
14,서울특별시 용산구 한강대로23길 55 (한강로3가),아이파크몰(I PARK MALL),37.5298245,126.9645796
15,서울특별시 종로구 창경궁로 109 (인의동),세운스퀘어,37.5725238,126.9980383
16,서울특별시 종로구 종로 266 (종로6가),동대문종합시장,37.5703632,127.0071784
17,서울특별시 중구 청계천로 160 세운청계상가 (산림동),청계상가,37.5681618,126.9953217
18,서울특별시 중구 남대문시장4길 21 (남창동),서울남대문시장,37.55914730000001,126.977641
19,서울특별시 중구 마장로 30 (신당동),팀204,37.5676753,127.0131827
20,서울특별시 중구 청계천로 260-9 (을지로6가 통일의류종합상가),통일상가,37.5675139,127.0065887
21,서울특별시 중구 퇴계로 217 (충무로4가),진양상가,37.5622705,126.996153
22,서울특별시 중구 삼일대로 363 (장교동),상제리제상가,37.5672472,126.9871743
23,서울특별시 중구 마장로 19 (신당동),(주)에리어식스,37.5680858,127.0119502
24,서울특별시 중구 다산로 274 (흥인동),우일타운,37.5674439,127.0167756
25,서울특별시 중구 을지로 157 (을지로4가),대림상가,37.5668911,127.0003985
26,서울특별시 구로구 서해안로 2293 (오류동외 2필지),홈플러스 익스프레스 서울오류점,37.4914349,126.8397226
27,서울특별시 중구 동호로37길 20 (방산동),방산종합시장,37.5684292,127.0005215
28,서울특별시 중구 다산로 32 (신당동),남산타운5상가,37.5491389,127.0093824
29,서울특별시 중구 마장로1길 28 (신당동),아트프라자,37.5691587,127.0127816
30,서울특별시 종로구 종로44길 14 (창신동),동문시장,37.5704381,127.0110531
31,서울특별시 중구 다산로 32 (신당동),남산타운2상가,37.5491389,127.0093824
32,서울특별시 중구 장충단로 13-20 (을지로6가),현대시티타워,37.5686986,127.0076666
33,서울특별시 중랑구 용마산로 494 (망우동),홈플러스(주)익스프레스 망우점,37.597314,127.0955025
34,서울특별시 중구 퇴계로 123 (충무로2가),하이해리엇,37.5612578,126.9853023
35,서울특별시 중구 남대문시장10길 2 (회현동1가메사빌딩),신세계백화점메사점,37.5603299,126.9795682
36,서울특별시 중구 마장로1길 22 (신당동),올레오,37.568852,127.0126396
37,서울특별시 중구 다산로 56 제지2층 제비203호 (신당동 남산정은스카이아파트),롯데쇼핑(주)롯데슈퍼신당점,37.55375859999999,126.9809696
38,서울특별시 중구 명동8나길 47 (충무로1가),롯데쇼핑(주)롯데슈퍼명동점,37.5610236,126.9822628
39,서울특별시 중구 남대문로 81 (소공동),롯데백화점 본점,37.5649903,126.981369
40,서울특별시 중구 한강대로 405 (봉래동2가),롯데아울렛 서울역점,37.555042,126.9695336
41,서울특별시 중구 마장로1길 21 (신당동),(주)광희패션몰,37.5686442,127.0119168
42,서울특별시 중구 다산로 32 (신당동),(주)지에스리테일 남산타운점,37.5491389,127.0093824
43,서울특별시 중구 장충단로 263 (을지로6가),밀리오레,37.5675139,127.0065887
44,서울특별시 중구 남대문로 30 (남창동),굳앤굳 디자이너월드,37.560515,126.9783614
45,서울특별시 중구 장충단로 282-10 (신당동),남평화상가(주),37.5691305,127.0108146
46,서울특별시 중구 남창동 51번지 1호,숭례문상가,37.5589993,126.9759543
47,서울특별시 중구 을지로 30 (소공동 롯데호텔),호텔롯데아케이드,37.5649903,126.981369
48,서울특별시 성동구 행당로 6 (금호동1가),홈플러스(주) 익스프레스 금호점,37.5546877,127.0285456
49,서울특별시 중구 마장로 13 (신당동),제일평화시장,37.5684231,127.011236
50,서울특별시 중구 마장로 3 (신당동),맥스타일,37.5686858,127.0105375
51,서울특별시 중구 장충단로13길 34 (을지로6가),동화상가,37.5682657,127.0070271
52,서울특별시 중구 을지로45길 62 (신당동),누죤,37.5669052,127.0129947
53,서울특별시 중구 장충단로 275 (을지로6가),두타몰,37.5689316,127.0087977
54,서울특별시 중구 남대문시장8길 7 (남창동),삼익패션타운,37.5603965,126.9789324
55,서울특별시 중구 을지로45길 72 (신당동),디자이너크럽,37.5673887,127.0130676
56,서울특별시 중구 명동8가길 27 (충무로2가),선싸인,37.5618939,126.9864389
57,서울특별시 중구 마장로1길 18 (신당동),혜양엘리시움,37.5686005,127.0126271
58,서울특별시 중구 소월로 9 (남창동),남정종합상가,37.5592803,126.9789465
59,서울특별시 중구 을지로 276 (을지로7가 apMPLACE),에이피엠플레이스,37.5652675,127.0084174
60,서울특별시 중구 마장로 22 (신당동 DDP FASHION MALL),DDP FASHION MALL,37.567612,127.0123205
61,서울특별시 중구 만리재로 175 401동 91011호 (만리동2가),지에스수퍼마켓 중구만리점,37.5547643,126.964253
62,서울특별시 중구 퇴계로85길 22 (황학동),서울중앙시장,37.5667491,127.0197908
63,서울특별시 중구 장충단로 253 (을지로6가),헬로우에이피엠,37.5675139,127.0065887
64,서울특별시 중구 청파로 426 (봉래동2가),롯데쇼핑(주)롯데마트서울역점,37.5574069,126.9694999
65,서울특별시 중구 청계천로 334 (신당동),청평화시장,37.56942799999999,127.0149254
66,서울특별시 중구 남대문로 67 (남대문로2가),롯데쇼핑본점영플라자,37.565734,126.9828666
67,서울특별시 중구 다산로 293 (신당동),디오트,37.5691202,127.0149759
68,서울특별시 중구 청계천로 400-0 (황학동),주식회사 이마트 청계천점,37.5708733,127.0213284
69,서울특별시 중구 청계천로 400 (황학동),베네치아메가몰,37.5666494,127.0201464
70,서울특별시 중구 명동8길 27 (명동2가 엠 플라자),엠플라자(M plaza),37.5625191,126.9853142
71,서울특별시 중구 장충단로 247 (을지로6가굿모닝시티쇼핑몰),굿모닝시티 쇼핑몰,37.5668311,127.0075414
72,서울특별시 중구 명동길 14 (명동2가),눈스퀘어,37.5633734,126.9828862
73,서울특별시 용산구 이촌로 352 (용산동6가),롯데쇼핑(주)롯데슈퍼 신동아점,37.5173454,126.985164
74,서울특별시 용산구 대사관로34길 26 허준빌딩 1층 (한남동),롯데슈퍼 한남점(가맹점),37.5320965,127.0056264
75,서울특별시 한강대로77길 12,롯데쇼핑(주)롯데market999갈월점,37.5421713,126.9718845
76,서울특별시 용산구 백범로 341 (원효로1가),롯데쇼핑(주)롯데슈퍼원효로점,37.5380311,126.9675813
77,서울특별시 용산구 한강로1가 191호   ,국제센터아케이드,37.5333789,126.9741516
78,서울특별시 용산구 청파로 113-12 (한강로2가),(주)전자타운,37.53319279999999,126.9702631
79,서울특별시 용산구 한강대로 92 (한강로2가),LS Avenue,37.5312613,126.9706099
80,서울특별시 용산구 새창로 181 (한강로2가 선인상가),선인상가,37.5329997,126.9651818
81,서울특별시 용산구 보광로 30 (보광동),보광시장,37.5292094,126.9991229
82,서울특별시 용산구 효창원로 270 (서계동),만리시장,37.551831,126.9628825
83,서울특별시 용산구 이태원로 179 (이태원동),해밀톤 쇼핑몰,37.5438352,126.994237
84,서울특별시 용산구 청파로 74 (한강로3가),(주)에스와이에스홀딩스,37.5327608,126.9595278
85,서울특별시 용산구 청파로 77 (원효로3가),원효전자상가,37.5345221,126.9574604
86,서울특별시 용산구 이촌로 352 (용산동6가),신동아 쇼핑센터,37.5173454,126.985164
87,서울특별시 용산구 청파로 122 (한강로2가),(주)농협유통하나로클럽용산점,37.5303842,126.9700517
88,서울특별시 용산구 청파로 113-12 (한강로2가),전자타운,37.53319279999999,126.9702631
89,서울특별시 용산구 이태원로14길 6 (이태원동),이태원시장,37.5337979,126.990044
90,서울특별시 성북구 삼선교로 6 (삼선동1가),홈플러스익스프레스 삼선점,37.5865751,127.0075235
91,서울특별시 성동구 동호로 100 (금호동3가),홈플러스(주) 익프스레스 금호2점,37.5498685,127.0162524
92,서울특별시 성동구 왕십리로 333 (하왕십리동),홈플러스(주) 익스프레스 왕십리점,37.5681024,127.0282799
93,서울특별시 성동구 성수이로 32-15 (성수동2가),뚝도시장,37.5377581,127.0548153
94,서울특별시 성동구 아차산로 41 (성수동1가),홈플러스(주)익스프레스 뚝섬점,37.5469252,127.0489711
95,서울특별시 성동구 자동차시장1길 70 (용답동 장안평중고자동차시장),자동차매매센타,37.560173,127.06623
96,서울특별시 성동구 독서당로 160 한남하이츠아파트 (옥수동),한남하이츠상가,37.5398165,127.0137446
97,서울특별시 성동구 행당로 87 행당동 대림아파트 (행당동),대림리빙프라자,37.5578253,127.027423
98,서울특별시 성동구 행당로 84 행당 한진타운 종합상가 (행당동),한진종합상가,37.5555573,127.0289482
99,서울특별시 뚝섬로 379,(주)이마트 성수점,37.5399389,127.0531674
100,서울특별시 성동구 아차산로7길 28 (성수동2가),(주)인트램,37.547517,127.0554628
101,서울특별시 성동구 마장로35길 68 (마장동),토우마트마축일시장,37.5706431,127.0412606
102,서울특별시 성동구 마장로31길 40 (마장동일대),마장축산물시장,37.5697882,127.0384008
103,서울특별시 성동구 무학로6길 50 (도선동),성동삼성쉐르빌상가,37.5642545,127.0349244
104,서울특별시 성동구 왕십리광장로 17 (행당동),(주)이마트 왕십리점,37.5621482,127.0379421
105,서울특별시 성동구 왕십리광장로 17 왕십리민자역사 (행당동),ENTER-6,37.560721,127.0382253
106,서울특별시 성동구 한림말길 56 (옥수동),GS수퍼 성동옥수점,37.5409152,127.017273
107,서울특별시 성동구 용답동 49번지 5호,성동용답상가시장,37.5635175,127.0521741
108,서울특별시 성동구 왕십리로 241 (행당동),파크에비뉴 엔터식스 한양대점,37.5574629,127.0347413
109,서울특별시 성동구 왕십리로 241 (행당동 서울숲 더샵),노브랜드 엔터식스한양대점,37.5569482,127.0403161
110,서울특별시 광진구 자양로 293 (구의동),롯데쇼핑(주)롯데슈퍼 아차산점,37.55191190000001,127.0921662
111,서울특별시 광진구 아차산로 473 (구의동),홈플러스익스프레스 구의2점,37.5404567,127.09432
112,서울특별시 광진구 뚝섬로 491 (자양동),노룬산시장,37.5364146,127.0647771
113,서울특별시 광진구 아차산로30길 39 (자양동),조양시장,37.5388782,127.067419
114,서울특별시 광진구 긴고랑로11길 11 (중곡동),중곡제일시장,37.5638702,127.081286
115,서울특별시 광진구 광나루로 369 (군자동),파크에비뉴,37.549094,127.0731087
116,서울특별시 광진구 긴고랑로 60 (중곡동),롯데쇼핑(주)롯데슈퍼 중곡점,37.5618437,127.0826714
117,서울특별시 금천구 가산로 106 (가산동),홈플러스(주)익스프레스 가산점,37.475374,126.8936524
118,서울특별시 광진구 능동로13길 39 (화양동),(주)지에스리테일GS수퍼 광진화양점,37.5463936,127.0720304
119,서울특별시 광진구 용마산로 10 (중곡동),홈플러스익스프레스 중곡2점,37.5605935,127.0881415
120,서울특별시 광진구 영화사로 12 (중곡동),신성종합시장,37.5580016,127.0884852
121,서울특별시 광진구 자양번영로6길 20 (자양동),자양종합시장,37.5319304,127.0763839
122,서울특별시 성북구 돈암동 609번지 1  호   ,동소문스카이프라자,37.5947663,127.0104379
123,서울특별시 광진구 광나루로56길 85 (구의동),테크노-마트21,37.5349372,127.0957088
124,서울특별시 광진구 광나루로56길 85 (구의동),롯데쇼핑(주)롯데마트 강변점,37.5349372,127.0957088
125,서울특별시 광진구 자양로5길 33 (자양동),프라젠 스파,37.5308753,127.0841313
126,서울특별시 광진구 능동로 92 (자양동),롯데백화점 건대스타시티점,37.5387765,127.0710831
127,서울특별시 광진구 아차산로 272 (자양동),(주)이마트 자양점,37.5384947,127.0734221
128,서울특별시 광진구 아차산로 200 (자양동),커먼그라운드,37.5355474,127.0617714
129,서울특별시 광진구 능동로13길 39 (화양동),한아름시장,37.5463936,127.0720304
130,서울특별시 광진구 능동로47길 30 (중곡동),광성시장,37.5626197,127.0853672
131,서울특별시 광진구 강변역로 50 (구의동),동서울터미널상가,37.5333713,127.0933675
132,서울특별시 광진구 광나루로 635 (광장동),현대종합상가,37.5406764,127.098826
133,서울특별시 광진구 광나루로56길 63 (구의동),프라임프라자상가,37.5373373,127.0976724
134,서울특별시 동대문구 천호대로4길 21 (신설동),서울풍물시장,37.5730037,127.0256147
135,서울특별시 동대문구 왕산로 214 (전농동),롯데백화점 청량리역사점,37.5792928,127.0479007
136,서울특별시 동대문구 왕산로 214 (전농동),롯데쇼핑(주)롯데마트 청량리점,37.5792928,127.0479007
137,서울특별시 동대문구 한천로 42 (장안동),장안위더스빌,37.579639,127.0691065
138,서울특별시 동대문구 왕산로34길 26 (용두동 청량리동부청과시장),동부청과(주),37.5780198,127.0430589
139,서울특별시 동대문구 왕산로 117 (제기동),불로장생타워,37.5785075,127.0364899
140,서울특별시 동대문구 용두동 787번지 동의보감타워,건강백화점 동의보감,37.577823,127.0376902
141,서울특별시 동대문구 이문1동 292번지 10호 (주)이문종합상가 이문동웰츠타워,대규모점포 개설등록,37.5986435,127.0619327
142,서울특별시 동대문구 이문로 136 (이문동),(주)이마트에브리데이 이문점,37.5984506,127.0618484
143,서울특별시 동대문구 장안동 108번지 5호,전곡시장,37.5784716,127.0690901
144,서울특별시 동대문구 회기동 346번지 18 호,휘경시장,37.5905954,127.0547318
145,서울특별시 동대문구 회기동 346번지 18 호,이경시장,37.5905954,127.0547318
146,서울특별시 동대문구 이문로 136 (이문동),이문제일시장,37.5984506,127.0618484
147,서울특별시 동대문구 왕산로 109 (제기동),한솔동의보감,37.5785145,127.0354922
148,서울특별시 동대문구 답십리로 288 (장안동),(주)형지쇼핑 아트몰링 장안점,37.5718718,127.0723465
149,서울특별시 동대문구 이문로 88 (이문동),롯데쇼핑(주) 롯데마켓 999 이문점,37.59460740000001,127.0593193
150,서울특별시 동대문구  이문로  37 (회기동),베라체캠퍼스 에비뉴,37.5907694,127.0561043
151,서울특별시 동대문구 사가정로 148 (전농동 SK아파트),롯데쇼핑(주) 롯데슈퍼 전농점,37.5769517,127.0612944
152,서울특별시 동대문구 한천로46길 42 (장안동),롯데쇼핑(주) 롯데슈퍼 장안점,37.5814261,127.0706893
153,서울특별시 동대문구 용두동 231번지 5호,용두시장,37.5783388,127.0301009
154,서울특별시 마포구 토정로 282 (용강동),홈플러스익스프레스용강점,37.5421246,126.9413076
155,서울특별시 동대문구 제기동 650호,동서시장,37.579702,127.0413459
156,서울특별시 동대문구 홍릉로 13 (청량리동),청량리현대코아,37.5814385,127.0443783
157,서울특별시 성북구 길음동 540번지 2   호   ,길음시장,37.6035963,127.0218715
158,서울특별시 동대문구 서울시립대로 36 (전농동),전농프라자,37.5745352,127.0468858
159,서울특별시 동대문구 전농로 147 (전농동),전농로타리시장,37.5779006,127.0569845
160,서울특별시 동대문구 답십리동 265번지 5호,동부시장,37.56902609999999,127.0573024
161,서울특별시 동대문구 이문로 136 (이문동),이문동웰츠타워,37.5984506,127.0618484
162,서울특별시 동대문구 신설동 109번지 5호,서울특별시장,37.571974,127.0235599
163,서울특별시 마포구 양화로 45 (서교동 메세나폴리스),홈플러스 합정점,37.5499443,126.9137027
164,서울특별시 동대문구 한천로 42 (장안동),노브랜드 동대문 장안점,37.579639,127.0691065
165,서울특별시 동대문구 고산자로36길 3 2층 (제기동),노브랜드 경동시장점,37.5792013,127.0391628
166,서울특별시 중랑구 봉화산로 221 (신내동),동성타워프라자,37.6080126,127.097218
167,서울특별시 중랑구 동일로129길 35 (중화동),태능엔터피아 번영회,37.5991759,127.0774943
168,서울특별시 중랑구 망우로 353-0 (상봉동 프레미어스 엠코),이노시티,37.598081,127.0905951
169,서울특별시 중랑구 면목로74길 45 (면목동),동원,37.5897984,127.0898741
170,서울특별시 중랑구 상봉로 118 (망우동),주식회사 이마트 상봉점,37.596438,127.0935903
171,서울특별시 중랑구 동일로 932 (묵동),주식회사 이마트 묵동점,37.613797,127.0775029
172,서울특별시 중랑구 망우로 336 (상봉동),코스트코홀세일 상봉점,37.5967521,127.0902753
173,서울특별시 성북구 성북로4길 52 (돈암동 한신한진아파트),동소문스카이상가,37.5959769,127.0126276
174,서울특별시 성북구 오패산로4길 17 (하월곡동),롯데마켓999 하월곡점,37.6041572,127.0388147
175,서울특별시 성북구 월계로40길 7 (장위동),롯데마이슈퍼 장위점,37.6228267,127.048397
176,서울특별시 성북구 정릉로 307 (정릉동),롯데마이슈퍼 정릉점,37.6032405,127.0182023
177,서울특별시 성북구 돌곶이로22가길 27 (석관동),석관시장,37.6091085,127.060318
178,서울특별시 성북구 인촌로2길 37 (보문동4가),보문시장(주),37.5841368,127.0209204
179,서울특별시 성북구 한천로73길 26 (석관동),석관황금시장,37.6096949,127.0619937
180,서울특별시 성북구 장월로12길 41-1 (장위동),장위전통시장,37.6120349,127.0507307
181,서울특별시 성북구 도봉로 17 (길음동),이마트 미아점,37.6108648,127.0296051
182,서울특별시 성북구 동소문로 106 (동선동1가),유타쇼핑몰,37.5925414,127.0170871
183,서울특별시 망우로 353-0 (상봉동 프레미어스 엠코),홈플러스(주) 서울 상봉점,37.598081,127.0905951
184,서울특별시 중구 남대문로2가 9-1,센터포인트 명동,37.5646017,126.9826918
185,서울특별시 성북구 종암로 167 (하월곡동 동일하이빌뉴시티아파트),이마트 하월곡점,37.604314,127.0309948
186,서울특별시 성북구 보문사길 111 (보문동6가 보문파크뷰자이),(주)지에스리테일 성북보문점,37.5806752,127.0177956
187,서울특별시 성북구 보문동4가 1번지 1   호   ,보문시장,37.5841168,127.0209093
188,서울특별시 성북구 하월곡동 88번지 345호   ,미아시장,37.60600280000001,127.0280747
189,서울특별시 성북구 석관동 338번지 18호   ,새석관시장,37.6091534,127.0552185
190,서울특별시 성북구 장위동 301호   ,번동시장,37.62138119999999,127.047909
191,서울특별시 성북구 동소문로 315 (길음동 현대백화점미아점),현대백화점 미아점,37.6083313,127.0287845
192,서울특별시 성북구 길음동 25번지 2호,신세계이마트미아점,37.6113706,127.0296427
193,서울특별시 성북구 장위동 60번지 1호,삼익아파트상가,37.6134745,127.0568707
194,서울특별시 성북구 종암로 132 (종암동 종암우림카이저팰리스),종암우림카이저팰리스주상복합,37.6019481,127.0334909
195,서울특별시 성북구 성북로4길 52 (돈암동 한진아파트),GS슈퍼마켓 동소문점,37.5959769,127.0126276
196,서울특별시 성북구 북악산로 844 (돈암동 돈암이수브라운스톤아파트),GS슈퍼마켓 돈암점,37.5984207,127.0168806
197,서울특별시 성북구 길음로 33 (길음동 길음뉴타운8단지아파트),GS슈퍼마켓 길음뉴타운점,37.6074709,127.0180208
198,서울특별시 성북구 길음로 103 (길음동),GS수퍼마켓 길음점,37.6108817,127.0179252
199,서울특별시 성북구 월곡1동 62번지 1호,롯데슈퍼하월곡점,37.6043108,127.0374412
200,서울특별시 성북구 동소문로 98 (동소문동5가),롯데마이슈퍼 동소문점,37.5913391,127.0161835
201,서울특별시 강북구 도봉로33길 18 (미아동),(주)농협유통 미아점,37.621528,127.0264618
202,서울특별시 강북구 도봉로67길 18 수유시장 (수유동),수유시장,37.630768,127.023174
203,서울특별시 강북구 노해로17길 21 수유중앙시장 (수유동),수유중앙시장,37.6402778,127.0211111
204,서울특별시 은평구 서오릉로 145 (구산동),홈플러스(주)익스프레스구산점,37.6124865,126.9094837
205,서울특별시 강북구 한천로123길 26 (번동),북부시장,37.6362494,127.0303593
206,서울특별시 강북구 솔샘로 233 동북프라자 (미아동),동북시장,37.6201744,127.0186462
207,서울특별시 강북구 노해로23길 68 (수유동),우이시장,37.6460291,127.0199895
208,서울특별시 강북구 도봉로 52 (미아동),연이스퀘어,37.6310064,127.0280743
209,서울특별시 영등포구 도신로 75 (도림동),홈플러스(주) 익스프레스 도림점,37.5099509,126.908024
210,서울특별시 강북구 도봉로 261 (수유동 삼호아파트수유프라자),수유프라자,37.6319139,127.0236044
211,서울특별시 강북구 도봉로 45 (미아동),숭인시장,37.6313749,127.0281749
212,서울특별시 강북구 도봉로 62 (미아동),롯데백화점 미아점,37.6145502,127.0305098
213,서울특별시 강북구 한천로148길 12-43 (수유동),강북종합시장,37.64215859999999,127.0254623
214,서울특별시 강북구 삼양로91길 11-12 (수유동),수유북부시장,37.6364087,127.0160767
215,서울특별시 강북구 도봉로 34 (미아동),트레지오,37.6319203,127.0280953
216,서울특별시 강북구 한천로123길 26 (번동),강북 북부시장,37.6362494,127.0303593
217,서울특별시 강북구 삼양로27길 35-21 (미아동),(주)지에스리테일GS수퍼 강북미아점,37.6179042,127.0190452
218,서울특별시 강북구 삼양로 247 (미아동),롯데쇼핑(주) 롯데마트 삼양점,37.6254731,127.0177185
219,서울특별시 강북구 도봉로67길 18 (수유동),롯데쇼핑(주)롯데슈퍼수유점,37.630752,127.0229047
220,서울특별시 강북구 도봉로 157 112호 (미아동 두원프라자),(주)이마트에브리데이 미아동점,37.6339764,127.0268879
221,서울특별시 도봉구 방학로5길 33 금강아미움파크타운 (쌍문동 금강아미움파크타운),금강아미움쇼핑센터,37.6613476,127.0381877
222,서울특별시 도봉구 마들로 724 (도봉동),도봉한양프라자,37.67449939999999,127.0476796
223,서울특별시 도봉구 방학로 223 (방학동),신동아프라자,37.6613533,127.0273354
224,서울특별시 성북구 장월로12길 41-1 장위전통시장 상인회 (장위동),장위전통시장상인회,37.6102808,127.0512945
225,서울특별시 도봉구 도봉로180나길 41 (도봉동),도봉한신쇼핑상가,37.6857879,127.0479503
226,서울특별시 도봉구 덕릉로63가길 61 (창동),대우상가,37.6423565,127.0375024
227,서울특별시 도봉구 도봉로104길 53 (창동),(주)에브리데이리테일 창동점,37.6433843,127.0350381
228,서울특별시 도봉구 도당로 10 (쌍문동),롯데슈퍼 쌍문점,37.65907139999999,127.0352919
229,서울특별시 도봉구 도봉로110길 65 (창동),롯데슈퍼 창동점,37.6463765,127.0371253
230,서울특별시 도봉구 덕릉로57길 30 (창동),삼익쇼핑,37.6400034,127.0372143
231,서울특별시 도봉구 노해로65길 4 (창동),(주) 이마트 창동점,37.6516821,127.046933
